,FIFA,Name,Nationality,OVR,POT,Positions,Age,Team,Height,Weight,Foot,WorkRate,WeakFoot,SkillMoves,Value,Wage,Ball_Control,Dribbling,Marking,Slide_Tackle,Stand_Tackle,Aggression,Reactions,Att._Position,Interceptions,Vision,Crossing,Short_Pass,Long_Pass,Acceleration,Stamina,Strength,Balance,Sprint_Speed,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,FK_Acc.,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes
46,12,Per Mertesacker,Germany,83,85,CB,25,Werder Bremen,198,90,Right,,1,62,29,89,83,90,76,78,48,84,73,38,70,58,58,79,84,86,64,43,77,92,73,23,25,39,45,32,30,12,12,13,5,8,,,
47,12,Raphael Wolf,Germany,68,73,GK,25,SV Werder Bremen,190,86,Right,Medium/Medium,3,1,800000,5000,20,13,13,13,12,27,64,9,13,4,10,20,19,36,27,65,31,37,44,63,14,23,10,12,12,10,22,10,70,69,65.0,65.0,71.0
48,12,Marko Arnautovic,Austria,76,82,ST,22,Werder Bremen,192,83,Right,Medium/Low,4,4,9500000,45000,83,82,12,29,31,74,73,70,33,66,70,74,55,82,58,78,66,80,77,68,70,83,73,76,74,74,66,77,9,13,14.0,9.0,14.0
49,12,Raúl Bobadilla,Argentina,75,81,ST/CF,23,Borussia Mönchengladbach,180,82,Right,,3,75,74,13,13,18,64,74,73,29,53,61,67,56,74,77,83,83,78,74,76,74,83,74,68,60,49,64,77,7,12,12,11,10,,,
50,12,Felix Bastians,Germany,69,77,LB/CB/LM/LWB,22,SC Freiburg,188,83,Left,,2,67,65,66,68,73,64,66,54,67,60,66,67,60,74,75,77,73,76,60,66,68,73,47,48,52,42,54,55,10,5,7,13,11,,,
51,12,Maximillian Nicu,Romania,71,74,LM/RM/CAM/ST,27,SC Freiburg,185,75,Right,,3,71,72,16,31,28,56,67,61,56,71,70,71,64,76,74,71,67,77,74,61,56,72,69,66,69,71,67,67,14,11,15,11,6,,,
52,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
53,12,Martin Amedick,Germany,72,76,CB/RB,27,1. FC Kaiserslautern,194,85,Right,,2,61,36,72,67,76,68,69,56,68,63,32,64,61,64,70,81,76,71,52,77,78,68,30,33,23,36,53,37,5,10,7,13,7,,,
54,12,Raphael Wolf,Germany,68,73,GK,25,SV Werder Bremen,190,86,Right,Medium/Medium,3,1,800000,5000,20,13,13,13,12,27,64,9,13,4,10,20,19,36,27,65,31,37,44,63,14,23,10,12,12,10,22,10,70,69,65.0,65.0,71.0
55,12,Sotirios Kyrgiakos,Greece,71,71,CB,34,VfL Wolfsburg,193,88,Right,Low/Medium,2,2,475000,9000,44,33,72,65,72,81,71,32,68,31,40,50,50,33,52,90,33,34,39,61,84,55,38,38,29,33,41,33,5,11,12.0,15.0,9.0
56,12,Srdjan Lakić,Croatia,76,76,ST/CF,28,Wolfsburg,186,81,Right,Medium/Low,4,3,5500000,30000,73,68,18,21,32,66,76,77,31,66,60,68,54,69,66,78,63,71,67,80,83,76,77,79,52,66,70,71,7,12,10.0,10.0,8.0
57,12,Felix Bastians,Germany,69,77,LB/CB/LM/LWB,22,SC Freiburg,188,83,Left,,2,67,65,66,68,73,64,66,54,67,60,66,67,60,74,75,77,73,76,60,66,68,73,47,48,52,42,54,55,10,5,7,13,11,,,
58,12,Yacine Abdessadki,Morocco,71,76,CAM/RM/LM/RW,29,SC Freiburg,175,70,Right,,3,71,76,37,67,63,68,67,72,57,74,68,73,69,80,81,67,68,78,78,68,64,72,62,71,58,36,64,71,12,7,12,10,15,,,
59,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
60,12,Hanno Balitsch,Germany,75,78,CDM/RB/CM/RM,29,Bayer Leverkusen,183,81,Right,,2,72,57,73,81,82,84,75,42,73,70,61,76,74,66,78,77,75,69,64,67,72,74,43,62,61,59,72,58,15,14,6,6,11,,,
61,12,Raphael Wolf,Germany,68,73,GK,25,SV Werder Bremen,190,86,Right,Medium/Medium,3,1,800000,5000,20,13,13,13,12,27,64,9,13,4,10,20,19,36,27,65,31,37,44,63,14,23,10,12,12,10,22,10,70,69,65.0,65.0,71.0
62,12,Gylfi Thor Sigurðsson,Iceland,70,81,CM/CAM/LM/LW,20,TSG 1899 Hoffenheim,186,77,Right,,2,75,68,55,55,57,61,68,67,51,70,68,81,68,71,69,64,66,72,69,76,57,75,72,77,70,79,70,67,14,12,7,9,11,,,
63,12,Chinedu Obasi,Nigeria,78,81,ST/CF/RF/RW,24,TSG 1899 Hoffenheim,188,79,Right,,4,80,85,19,13,20,64,80,78,41,57,72,78,42,90,68,68,71,93,77,67,68,82,75,64,65,75,63,72,10,6,9,11,12,,,
64,12,Sotirios Kyrgiakos,Greece,71,71,CB,34,VfL Wolfsburg,193,88,Right,Low/Medium,2,2,475000,9000,44,33,72,65,72,81,71,32,68,31,40,50,50,33,52,90,33,34,39,61,84,55,38,38,29,33,41,33,5,11,12.0,15.0,9.0
65,12,Martin Amedick,Germany,72,76,CB/RB,27,1. FC Kaiserslautern,194,85,Right,,2,61,36,72,67,76,68,69,56,68,63,32,64,61,64,70,81,76,71,52,77,78,68,30,33,23,36,53,37,5,10,7,13,7,,,
66,12,Clemens Walch,Austria,66,71,CAM/RM/CF/LM,23,1. FC Kaiserslautern,181,74,Right,,3,69,68,13,22,16,51,67,67,34,65,64,70,65,74,71,67,67,77,68,66,48,64,63,53,46,57,65,56,9,10,7,7,6,,,
67,12,Heung-Min Son,Korea Republic,75,82,ST/CF/RW/RM,21,Hamburger SV,183,76,Left,Medium/Low,5,3,5500000,15000,77,79,16,22,18,52,75,73,32,59,68,72,55,83,67,54,76,83,77,69,62,77,77,81,78,69,70,69,5,10,12.0,12.0,9.0
68,12,Felix Bastians,Germany,69,77,LB/CB/LM/LWB,22,SC Freiburg,188,83,Left,,2,67,65,66,68,73,64,66,54,67,60,66,67,60,74,75,77,73,76,60,66,68,73,47,48,52,42,54,55,10,5,7,13,11,,,
69,12,Yacine Abdessadki,Morocco,71,76,CAM/RM/LM/RW,29,SC Freiburg,175,70,Right,,3,71,76,37,67,63,68,67,72,57,74,68,73,69,80,81,67,68,78,78,68,64,72,62,71,58,36,64,71,12,7,12,10,15,,,
70,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
71,12,Sotirios Kyrgiakos,Greece,71,71,CB,34,VfL Wolfsburg,193,88,Right,Low/Medium,2,2,475000,9000,44,33,72,65,72,81,71,32,68,31,40,50,50,33,52,90,33,34,39,61,84,55,38,38,29,33,41,33,5,11,12.0,15.0,9.0
72,12,Martin Amedick,Germany,72,76,CB/RB,27,1. FC Kaiserslautern,194,85,Right,,2,61,36,72,67,76,68,69,56,68,63,32,64,61,64,70,81,76,71,52,77,78,68,30,33,23,36,53,37,5,10,7,13,7,,,
73,12,Clemens Walch,Austria,66,71,CAM/RM/CF/LM,23,1. FC Kaiserslautern,181,74,Right,,3,69,68,13,22,16,51,67,67,34,65,64,70,65,74,71,67,67,77,68,66,48,64,63,53,46,57,65,56,9,10,7,7,6,,,
74,12,Hanno Balitsch,Germany,75,78,CDM/RB/CM/RM,29,Bayer Leverkusen,183,81,Right,,2,72,57,73,81,82,84,75,42,73,70,61,76,74,66,78,77,75,69,64,67,72,74,43,62,61,59,72,58,15,14,6,6,11,,,
75,12,Andrezinho,Brazil,68,70,RWB/RM/LB/RB,28,1. FC Köln,173,67,Right,,2,70,66,65,71,67,73,63,59,63,53,73,67,59,75,73,67,67,73,72,56,55,69,43,58,69,74,60,43,11,11,14,8,13,,,
76,12,Gylfi Thor Sigurðsson,Iceland,70,81,CM/CAM/LM/LW,20,TSG 1899 Hoffenheim,186,77,Right,,2,75,68,55,55,57,61,68,67,51,70,68,81,68,71,69,64,66,72,69,76,57,75,72,77,70,79,70,67,14,12,7,9,11,,,
77,12,Raphael Wolf,Germany,68,73,GK,25,SV Werder Bremen,190,86,Right,Medium/Medium,3,1,800000,5000,20,13,13,13,12,27,64,9,13,4,10,20,19,36,27,65,31,37,44,63,14,23,10,12,12,10,22,10,70,69,65.0,65.0,71.0
78,12,Martin Amedick,Germany,72,76,CB/RB,27,1. FC Kaiserslautern,194,85,Right,,2,61,36,72,67,76,68,69,56,68,63,32,64,61,64,70,81,76,71,52,77,78,68,30,33,23,36,53,37,5,10,7,13,7,,,
79,12,Pavel Pogrebnyak,Russia,78,83,ST/CF/LF,26,VfB Stuttgart,188,91,Left,,3,74,67,27,19,12,83,76,75,29,76,68,73,70,73,74,86,87,72,57,83,84,85,78,82,74,76,77,76,9,14,11,14,13,,,
80,12,Hanno Balitsch,Germany,75,78,CDM/RB/CM/RM,29,Bayer Leverkusen,183,81,Right,,2,72,57,73,81,82,84,75,42,73,70,61,76,74,66,78,77,75,69,64,67,72,74,43,62,61,59,72,58,15,14,6,6,11,,,
81,12,Felix Bastians,Germany,69,77,LB/CB/LM/LWB,22,SC Freiburg,188,83,Left,,2,67,65,66,68,73,64,66,54,67,60,66,67,60,74,75,77,73,76,60,66,68,73,47,48,52,42,54,55,10,5,7,13,11,,,
82,12,Yacine Abdessadki,Morocco,71,76,CAM/RM/LM/RW,29,SC Freiburg,175,70,Right,,3,71,76,37,67,63,68,67,72,57,74,68,73,69,80,81,67,68,78,78,68,64,72,62,71,58,36,64,71,12,7,12,10,15,,,
83,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
84,12,Gylfi Thor Sigurðsson,Iceland,70,81,CM/CAM/LM/LW,20,TSG 1899 Hoffenheim,186,77,Right,,2,75,68,55,55,57,61,68,67,51,70,68,81,68,71,69,64,66,72,69,76,57,75,72,77,70,79,70,67,14,12,7,9,11,,,
85,12,Chinedu Obasi,Nigeria,78,81,ST/CF/RF/RW,24,TSG 1899 Hoffenheim,188,79,Right,,4,80,85,19,13,20,64,80,78,41,57,72,78,42,90,68,68,71,93,77,67,68,82,75,64,65,75,63,72,10,6,9,11,12,,,
86,12,Andrezinho,Brazil,68,70,RWB/RM/LB/RB,28,1. FC Köln,173,67,Right,,2,70,66,65,71,67,73,63,59,63,53,73,67,59,75,73,67,67,73,72,56,55,69,43,58,69,74,60,43,11,11,14,8,13,,,
87,12,Raphael Wolf,Germany,68,73,GK,25,SV Werder Bremen,190,86,Right,Medium/Medium,3,1,800000,5000,20,13,13,13,12,27,64,9,13,4,10,20,19,36,27,65,31,37,44,63,14,23,10,12,12,10,22,10,70,69,65.0,65.0,71.0
88,12,Raphael Wolf,Germany,68,73,GK,25,SV Werder Bremen,190,86,Right,Medium/Medium,3,1,800000,5000,20,13,13,13,12,27,64,9,13,4,10,20,19,36,27,65,31,37,44,63,14,23,10,12,12,10,22,10,70,69,65.0,65.0,71.0
89,12,Pavel Pogrebnyak,Russia,78,83,ST/CF/LF,26,VfB Stuttgart,188,91,Left,,3,74,67,27,19,12,83,76,75,29,76,68,73,70,73,74,86,87,72,57,83,84,85,78,82,74,76,77,76,9,14,11,14,13,,,
90,12,Gylfi Thor Sigurðsson,Iceland,70,81,CM/CAM/LM/LW,20,TSG 1899 Hoffenheim,186,77,Right,,2,75,68,55,55,57,61,68,67,51,70,68,81,68,71,69,64,66,72,69,76,57,75,72,77,70,79,70,67,14,12,7,9,11,,,
91,12,Chinedu Obasi,Nigeria,78,81,ST/CF/RF/RW,24,TSG 1899 Hoffenheim,188,79,Right,,4,80,85,19,13,20,64,80,78,41,57,72,78,42,90,68,68,71,93,77,67,68,82,75,64,65,75,63,72,10,6,9,11,12,,,
92,12,Hanno Balitsch,Germany,75,78,CDM/RB/CM/RM,29,Bayer Leverkusen,183,81,Right,,2,72,57,73,81,82,84,75,42,73,70,61,76,74,66,78,77,75,69,64,67,72,74,43,62,61,59,72,58,15,14,6,6,11,,,
93,12,Martin Amedick,Germany,72,76,CB/RB,27,1. FC Kaiserslautern,194,85,Right,,2,61,36,72,67,76,68,69,56,68,63,32,64,61,64,70,81,76,71,52,77,78,68,30,33,23,36,53,37,5,10,7,13,7,,,
94,12,Felix Bastians,Germany,69,77,LB/CB/LM/LWB,22,SC Freiburg,188,83,Left,,2,67,65,66,68,73,64,66,54,67,60,66,67,60,74,75,77,73,76,60,66,68,73,47,48,52,42,54,55,10,5,7,13,11,,,
95,12,Yacine Abdessadki,Morocco,71,76,CAM/RM/LM/RW,29,SC Freiburg,175,70,Right,,3,71,76,37,67,63,68,67,72,57,74,68,73,69,80,81,67,68,78,78,68,64,72,62,71,58,36,64,71,12,7,12,10,15,,,
96,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
97,12,Heung-Min Son,Korea Republic,75,82,ST/CF/RW/RM,21,Hamburger SV,183,76,Left,Medium/Low,5,3,5500000,15000,77,79,16,22,18,52,75,73,32,59,68,72,55,83,67,54,76,83,77,69,62,77,77,81,78,69,70,69,5,10,12.0,12.0,9.0
98,12,Raphael Wolf,Germany,68,73,GK,25,SV Werder Bremen,190,86,Right,Medium/Medium,3,1,800000,5000,20,13,13,13,12,27,64,9,13,4,10,20,19,36,27,65,31,37,44,63,14,23,10,12,12,10,22,10,70,69,65.0,65.0,71.0
99,12,Adam Matuschyk,Poland,71,76,CDM/CM,22,Köln,183,73,Right,Medium/Medium,3,2,2300000,10000,72,71,67,73,70,76,72,65,74,67,58,73,72,74,77,67,73,70,70,72,66,76,63,76,43,54,50,64,14,8,7.0,10.0,13.0
100,12,Martin Amedick,Germany,72,76,CB/RB,27,1. FC Kaiserslautern,194,85,Right,,2,61,36,72,67,76,68,69,56,68,63,32,64,61,64,70,81,76,71,52,77,78,68,30,33,23,36,53,37,5,10,7,13,7,,,
101,12,Felix Bastians,Germany,69,77,LB/CB/LM/LWB,22,SC Freiburg,188,83,Left,,2,67,65,66,68,73,64,66,54,67,60,66,67,60,74,75,77,73,76,60,66,68,73,47,48,52,42,54,55,10,5,7,13,11,,,
102,12,Yacine Abdessadki,Morocco,71,76,CAM/RM/LM/RW,29,SC Freiburg,175,70,Right,,3,71,76,37,67,63,68,67,72,57,74,68,73,69,80,81,67,68,78,78,68,64,72,62,71,58,36,64,71,12,7,12,10,15,,,
103,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
