,Round,Home,Away,HGoals,AGoals,OddsH,OddsD,OddsA
32,31,Hannover,Mainz,1,0,3.1,3.75,2.2
33,31,RB Leipzig,Freiburg,2,1,1.28,5.75,11.0
34,31,Stuttgart,B. Monchengladbach,1,0,3.75,3.8,1.85
35,31,Augsburg,Bayer Leverkusen,1,4,4.75,4.5,1.61
36,30,Wolfsburg,Eintracht Frankfurt,1,1,2.8,3.75,2.3
37,30,Freiburg,Dortmund,0,4,6.0,4.6,1.5
38,30,Hertha Berlin,Hannover,0,0,1.61,4.2,5.0
39,30,Augsburg,Stuttgart,6,0,2.25,3.5,3.2
40,30,Bayer Leverkusen,Nurnberg,2,0,1.28,6.0,9.5
41,30,Bayern Munich,Werder Bremen,1,0,1.12,9.0,20.0
42,30,B. Monchengladbach,RB Leipzig,1,2,2.87,3.6,2.3
43,30,Mainz,Dusseldorf,3,1,1.9,3.8,3.8
44,30,Schalke,Hoffenheim,2,5,3.4,4.0,1.95
45,29,Dusseldorf,Bayern Munich,1,4,15.0,8.0,1.16
46,29,Eintracht Frankfurt,Augsburg,1,3,1.4,4.75,8.5
47,29,Hoffenheim,Hertha Berlin,2,0,1.25,7.0,8.5
48,29,Dortmund,Mainz,2,1,1.25,6.0,11.0
49,29,Hannover,B. Monchengladbach,0,1,6.0,4.75,1.5
50,29,RB Leipzig,Wolfsburg,2,0,1.45,4.5,7.5
51,29,Stuttgart,Bayer Leverkusen,0,1,4.2,4.2,1.75
52,29,Werder Bremen,Freiburg,2,1,1.6,4.0,5.75
53,29,Nurnberg,Schalke,1,1,3.4,3.4,2.15
54,28,Augsburg,Hoffenheim,0,4,4.0,4.2,1.75
55,28,B. Monchengladbach,Werder Bremen,1,1,1.95,3.75,3.6
56,28,Bayer Leverkusen,RB Leipzig,2,4,2.4,3.6,2.8
57,28,Bayern Munich,Dortmund,5,0,1.44,4.75,6.5
58,28,Hertha Berlin,Dusseldorf,1,2,1.95,3.6,3.9
59,28,Schalke,Eintracht Frankfurt,1,2,3.2,3.5,2.15
60,28,Stuttgart,Nurnberg,1,1,1.72,3.8,5.0
61,28,Wolfsburg,Hannover,3,1,1.44,5.0,6.5
62,28,Mainz,Freiburg,5,0,2.1,3.4,3.4
63,27,Eintracht Frankfurt,Stuttgart,3,0,1.44,5.0,6.5
64,27,Hannover,Schalke,0,1,4.2,4.0,1.8
65,27,Dortmund,Wolfsburg,2,0,1.45,4.5,6.5
66,27,Dusseldorf,B. Monchengladbach,3,1,3.75,3.9,1.9
67,27,Freiburg,Bayern Munich,1,1,13.0,6.5,1.2
68,27,Nurnberg,Augsburg,3,0,3.1,3.3,2.3
69,27,RB Leipzig,Hertha Berlin,5,0,1.53,4.0,6.0
70,27,Werder Bremen,Mainz,3,1,1.61,4.33,5.0
71,27,Hoffenheim,Bayer Leverkusen,4,1,2.3,3.8,2.8
72,26,Bayer Leverkusen,Werder Bremen,1,3,1.57,4.2,5.5
73,26,Bayern Munich,Mainz,6,0,1.12,9.0,17.0
74,26,Eintracht Frankfurt,Nurnberg,1,0,1.3,5.5,10.0
75,26,Augsburg,Hannover,3,1,1.6,4.33,5.25
76,26,Hertha Berlin,Dortmund,2,3,3.5,3.6,2.0
77,26,Schalke,RB Leipzig,0,1,3.75,3.6,2.0
78,26,Stuttgart,Hoffenheim,1,1,3.8,4.0,1.85
79,26,Wolfsburg,Dusseldorf,5,2,1.85,3.6,4.33
80,26,B. Monchengladbach,Freiburg,1,1,1.57,4.0,5.75
81,25,Dusseldorf,Eintracht Frankfurt,0,3,2.7,3.6,2.5
82,25,Hannover,Bayer Leverkusen,2,3,7.0,5.25,1.36
83,25,Hoffenheim,Nurnberg,2,1,1.22,6.5,11.0
84,25,Bayern Munich,Wolfsburg,6,0,1.2,7.0,15.0
85,25,Dortmund,Stuttgart,3,1,1.3,5.0,11.0
86,25,Freiburg,Hertha Berlin,2,1,2.45,3.4,2.87
87,25,Mainz,B. Monchengladbach,0,1,2.87,3.5,2.4
88,25,RB Leipzig,Augsburg,0,0,1.28,5.5,12.0
89,25,Werder Bremen,Schalke,4,2,2.1,3.5,3.4
90,24,Stuttgart,Hannover,5,1,1.65,4.0,5.0
91,24,Wolfsburg,Werder Bremen,1,1,2.15,3.5,3.3
92,24,Bayer Leverkusen,Freiburg,2,0,1.45,4.5,7.0
93,24,B. Monchengladbach,Bayern Munich,1,5,6.0,4.33,1.53
94,24,Eintracht Frankfurt,Hoffenheim,3,2,2.4,3.6,2.75
95,24,Hertha Berlin,Mainz,2,1,1.9,3.6,4.0
96,24,Nurnberg,RB Leipzig,0,1,7.5,4.33,1.44
97,24,Schalke,Dusseldorf,0,4,1.83,3.75,4.2
98,24,Augsburg,Dortmund,2,1,5.5,4.2,1.57
99,23,RB Leipzig,Hoffenheim,1,1,1.85,3.8,3.8
100,23,Dortmund,Bayer Leverkusen,3,2,1.85,4.0,3.75
101,23,Hannover,Eintracht Frankfurt,0,3,5.0,4.33,1.61
102,23,Bayern Munich,Hertha Berlin,1,0,1.18,7.0,17.0
103,23,B. Monchengladbach,Wolfsburg,0,3,2.0,3.5,3.8
104,23,Dusseldorf,Nurnberg,2,1,1.8,3.6,4.5
105,23,Freiburg,Augsburg,5,1,2.25,3.4,3.2
106,23,Mainz,Schalke,3,0,3.2,3.3,2.25
107,23,Werder Bremen,Stuttgart,1,1,1.6,4.2,5.25
108,22,Nurnberg,Dortmund,0,0,6.0,4.0,1.57
109,22,Bayer Leverkusen,Dusseldorf,2,0,1.44,5.25,6.0
110,22,Eintracht Frankfurt,B. Monchengladbach,1,1,2.15,3.5,3.2
111,22,Hertha Berlin,Werder Bremen,1,1,2.55,3.5,2.7
112,22,Hoffenheim,Hannover,3,0,1.25,6.5,9.0
113,22,Schalke,Freiburg,0,0,1.8,3.6,4.75
114,22,Stuttgart,RB Leipzig,1,3,6.0,4.0,1.57
115,22,Wolfsburg,Mainz,3,0,1.7,4.0,4.5
116,22,Augsburg,Bayern Munich,2,3,13.0,7.0,1.2
117,21,Dusseldorf,Stuttgart,3,0,2.05,3.5,3.4
118,21,Werder Bremen,Augsburg,4,0,1.61,4.2,4.75
119,21,Bayern Munich,Schalke,3,1,1.22,6.5,12.0
120,21,B. Monchengladbach,Hertha Berlin,0,3,1.57,4.0,5.75
121,21,Dortmund,Hoffenheim,3,3,1.72,4.0,4.5
122,21,Freiburg,Wolfsburg,3,3,2.87,3.3,2.5
123,21,Hannover,Nurnberg,2,0,2.0,3.5,3.75
124,21,RB Leipzig,Eintracht Frankfurt,0,0,1.72,4.0,4.2
125,21,Mainz,Bayer Leverkusen,1,5,4.2,4.2,1.72
126,20,Augsburg,Mainz,3,0,2.2,3.5,3.1
127,20,Stuttgart,Freiburg,2,2,2.25,3.4,3.25
128,20,Bayer Leverkusen,Bayern Munich,3,1,5.5,4.5,1.53
129,20,Eintracht Frankfurt,Dortmund,1,1,3.1,3.8,2.1
130,20,Hertha Berlin,Wolfsburg,0,1,2.3,3.4,3.1
131,20,Hoffenheim,Dusseldorf,1,1,1.4,5.25,6.5
132,20,Nurnberg,Werder Bremen,1,1,4.0,4.0,1.83
133,20,Schalke,B. Monchengladbach,0,2,2.2,3.5,3.1
134,20,Hannover,RB Leipzig,0,3,4.75,4.0,1.65
135,19,Bayern Munich,Stuttgart,4,1,1.09,11.0,26.0
136,19,Dusseldorf,RB Leipzig,0,4,3.5,3.6,2.05
137,19,B. Monchengladbach,Augsburg,2,0,1.72,3.8,4.75
138,19,Dortmund,Hannover,5,1,1.16,7.5,15.0
139,19,Freiburg,Hoffenheim,2,4,3.8,4.2,1.83
140,19,Mainz,Nurnberg,2,1,1.9,3.4,4.2
141,19,Werder Bremen,Eintracht Frankfurt,2,2,2.7,3.7,2.4
142,19,Wolfsburg,Bayer Leverkusen,0,3,2.87,3.6,2.35
143,19,Hertha Berlin,Schalke,2,2,2.5,3.25,2.87
144,18,Nurnberg,Hertha Berlin,1,3,2.87,3.4,2.37
145,18,Schalke,Wolfsburg,2,1,2.1,3.3,3.6
146,18,Augsburg,Dusseldorf,1,2,2.1,3.5,3.4
147,18,Bayer Leverkusen,B. Monchengladbach,0,1,1.85,3.8,4.0
148,18,Eintracht Frankfurt,Freiburg,3,1,1.5,4.5,6.0
149,18,Hannover,Werder Bremen,0,1,3.4,3.75,2.0
150,18,RB Leipzig,Dortmund,0,1,2.35,3.4,3.0
151,18,Stuttgart,Mainz,2,3,2.4,3.3,3.0
152,18,Hoffenheim,Bayern Munich,1,3,6.0,5.0,1.44
153,17,Augsburg,Wolfsburg,2,3,2.7,3.3,2.7
154,17,Hoffenheim,Mainz,1,1,1.61,4.2,5.25
155,17,Bayer Leverkusen,Hertha Berlin,3,1,1.64,4.1,5.0
156,17,Eintracht Frankfurt,Bayern Munich,0,3,6.0,4.75,1.44
157,17,Hannover,Dusseldorf,0,1,2.4,3.4,2.87
158,17,Nurnberg,Freiburg,0,1,3.0,3.3,2.4
159,17,RB Leipzig,Werder Bremen,3,2,1.44,4.5,6.5
160,17,Stuttgart,Schalke,1,3,3.5,3.3,2.14
161,17,Dortmund,B. Monchengladbach,2,1,1.44,4.75,6.5
162,16,Bayern Munich,RB Leipzig,1,0,1.28,6.0,10.0
163,16,Freiburg,Hannover,1,1,1.72,3.8,4.5
164,16,Mainz,Eintracht Frankfurt,2,2,3.25,3.5,2.2
165,16,Schalke,Bayer Leverkusen,1,2,2.4,3.4,2.9
166,16,Werder Bremen,Hoffenheim,1,1,3.3,4.0,2.0
167,16,B. Monchengladbach,Nurnberg,2,0,1.36,5.0,8.5
168,16,Dusseldorf,Dortmund,2,1,6.0,4.5,1.5
169,16,Hertha Berlin,Augsburg,2,2,2.2,3.4,3.25
170,16,Wolfsburg,Stuttgart,2,0,1.6,4.0,5.5
171,15,Eintracht Frankfurt,Bayer Leverkusen,2,1,2.37,3.6,2.7
172,15,RB Leipzig,Mainz,4,1,1.44,4.75,6.0
173,15,Augsburg,Schalke,1,1,2.54,3.3,2.75
174,15,Dortmund,Werder Bremen,2,1,1.36,5.5,7.5
175,15,Dusseldorf,Freiburg,2,0,2.62,3.4,2.7
176,15,Hannover,Bayern Munich,0,4,13.0,7.5,1.2
177,15,Hoffenheim,B. Monchengladbach,0,0,1.8,4.33,3.75
178,15,Stuttgart,Hertha Berlin,2,1,2.5,3.4,2.75
179,15,Nurnberg,Wolfsburg,0,2,3.5,3.6,2.04
180,14,B. Monchengladbach,Stuttgart,3,0,1.57,4.2,5.75
181,14,Mainz,Hannover,1,1,1.83,3.6,4.33
182,14,Bayer Leverkusen,Augsburg,1,0,1.72,3.9,4.75
183,14,Bayern Munich,Nurnberg,3,0,1.08,11.0,34.0
184,14,Freiburg,RB Leipzig,3,0,4.5,4.0,1.75
185,14,Hertha Berlin,Eintracht Frankfurt,1,0,2.62,3.5,2.62
186,14,Schalke,Dortmund,1,2,3.25,3.5,2.2
187,14,Wolfsburg,Hoffenheim,2,2,3.0,3.75,2.25
188,14,Werder Bremen,Dusseldorf,3,1,1.8,3.9,4.33
189,13,Nurnberg,Bayer Leverkusen,1,1,5.0,4.0,1.64
190,13,Eintracht Frankfurt,Wolfsburg,1,2,1.85,3.75,4.0
191,13,RB Leipzig,B. Monchengladbach,2,0,1.72,4.2,4.33
192,13,Dortmund,Freiburg,2,0,1.3,5.25,9.5
193,13,Hannover,Hertha Berlin,0,2,2.5,3.4,2.75
194,13,Hoffenheim,Schalke,1,1,1.8,4.0,4.2
195,13,Stuttgart,Augsburg,1,0,2.62,3.4,2.7
196,13,Werder Bremen,Bayern Munich,1,2,8.0,5.5,1.33
197,13,Dusseldorf,Mainz,0,1,2.62,3.3,2.7
198,12,B. Monchengladbach,Hannover,4,1,1.4,4.5,8.5
199,12,Freiburg,Werder Bremen,1,1,2.7,3.3,2.62
200,12,Augsburg,Eintracht Frankfurt,1,3,2.75,3.5,2.45
201,12,Bayern Munich,Dusseldorf,3,3,1.08,11.0,26.0
202,12,Hertha Berlin,Hoffenheim,3,3,3.5,3.8,1.95
203,12,Mainz,Dortmund,1,2,5.0,4.2,1.61
204,12,Schalke,Nurnberg,5,2,1.5,4.0,7.5
205,12,Wolfsburg,RB Leipzig,1,0,3.2,3.5,2.2
206,12,Bayer Leverkusen,Stuttgart,2,0,1.5,4.75,5.75
207,11,Eintracht Frankfurt,Schalke,3,0,2.37,3.3,3.0
208,11,RB Leipzig,Bayer Leverkusen,3,0,1.8,4.0,4.0
209,11,Dortmund,Bayern Munich,3,2,3.8,4.0,1.85
210,11,Dusseldorf,Hertha Berlin,4,1,3.25,3.6,2.14
211,11,Freiburg,Mainz,1,3,2.14,3.25,3.5
212,11,Hoffenheim,Augsburg,2,1,1.53,4.5,5.5
213,11,Nurnberg,Stuttgart,0,2,2.4,3.4,3.0
214,11,Werder Bremen,B. Monchengladbach,1,3,2.37,3.75,2.75
215,11,Hannover,Wolfsburg,2,1,2.87,3.3,2.4
216,10,B. Monchengladbach,Dusseldorf,3,0,1.36,4.75,8.0
217,10,Mainz,Werder Bremen,2,1,2.8,3.4,2.5
218,10,Augsburg,Nurnberg,2,2,1.57,4.0,5.75
219,10,Bayer Leverkusen,Hoffenheim,1,4,2.14,3.8,3.1
220,10,Bayern Munich,Freiburg,1,1,1.11,10.0,21.0
221,10,Hertha Berlin,RB Leipzig,0,3,3.25,3.5,2.2
222,10,Schalke,Hannover,3,1,1.61,3.75,6.0
223,10,Wolfsburg,Dortmund,0,1,3.6,3.6,2.04
224,10,Stuttgart,Eintracht Frankfurt,0,3,2.87,3.5,2.37
225,9,Nurnberg,Eintracht Frankfurt,1,1,4.0,3.75,1.9
226,9,RB Leipzig,Schalke,0,0,1.8,3.7,4.5
227,9,Werder Bremen,Bayer Leverkusen,2,6,2.4,3.6,2.75
228,9,Dortmund,Hertha Berlin,2,2,1.44,4.5,7.0
229,9,Dusseldorf,Wolfsburg,0,3,3.2,3.5,2.25
230,9,Hannover,Augsburg,1,2,2.37,3.4,2.87
231,9,Hoffenheim,Stuttgart,4,0,1.5,4.75,6.0
232,9,Mainz,Bayern Munich,1,2,13.0,7.0,1.2
233,9,Freiburg,B. Monchengladbach,3,1,3.5,3.6,2.0
234,8,B. Monchengladbach,Mainz,4,0,1.53,4.5,5.25
235,8,Hertha Berlin,Freiburg,1,1,1.83,3.6,4.33
236,8,Augsburg,RB Leipzig,0,0,3.1,3.75,2.14
237,8,Bayer Leverkusen,Hannover,2,2,1.5,4.33,6.5
238,8,Nurnberg,Hoffenheim,1,3,4.2,4.33,1.7
239,8,Schalke,Werder Bremen,0,2,2.04,3.5,3.5
240,8,Stuttgart,Dortmund,0,4,4.2,3.8,1.75
241,8,Wolfsburg,Bayern Munich,1,3,8.5,6.0,1.3
242,8,Eintracht Frankfurt,Dusseldorf,7,1,1.72,3.8,4.5
243,7,Freiburg,Bayer Leverkusen,0,0,3.5,3.6,2.04
244,7,Hoffenheim,Eintracht Frankfurt,1,2,1.64,4.0,4.75
245,7,RB Leipzig,Nurnberg,6,0,1.36,4.75,9.0
246,7,Bayern Munich,B. Monchengladbach,0,3,1.14,8.5,17.0
247,7,Dortmund,Augsburg,4,3,1.53,4.33,6.0
248,7,Dusseldorf,Schalke,0,2,3.75,3.5,2.0
249,7,Hannover,Stuttgart,3,1,2.4,3.4,2.9
250,7,Mainz,Hertha Berlin,0,0,2.62,3.3,2.7
251,7,Werder Bremen,Wolfsburg,2,0,1.95,3.6,3.8
252,6,Augsburg,Freiburg,4,1,1.85,3.6,4.0
253,6,Eintracht Frankfurt,Hannover,4,1,1.95,3.6,4.0
254,6,Bayer Leverkusen,Dortmund,2,4,2.5,3.5,2.62
255,6,Hoffenheim,RB Leipzig,1,2,2.2,3.75,3.0
256,6,Nurnberg,Dusseldorf,3,0,2.14,3.4,3.4
257,6,Schalke,Mainz,1,0,1.57,3.8,6.0
258,6,Stuttgart,Werder Bremen,2,1,2.7,3.25,2.6
259,6,Wolfsburg,B. Monchengladbach,2,2,2.25,3.4,3.25
260,6,Hertha Berlin,Bayern Munich,2,0,11.0,6.0,1.25
